n,se,normal_95_halfwidth,p_observed_negative_if_true_0_1,p_observed_negative_if_true_0_2,cost_push,cost_sms,cost_digital_ads,cost_call
10,0.2542471238775377,0.49832436279997383,0.3470422694598455,0.21574742096710292,0,40,220,1600
30,0.14678964541138453,0.2877077050063137,0.24785761853407778,0.08652103016529702,0,120,660,4800
50,0.11370277041479684,0.22285743001300182,0.18956889781010414,0.03929112440223522,0,200,1100,8000
75,0.09283792328569182,0.18196232963995596,0.14070751715557084,0.01560863800195256,0,300,1650,12000
100,0.0804,0.157584,0.1067900701078126,0.0064310981827197375,0,400,2200,16000
150,0.06564632510658917,0.12866679720891477,0.06384001850843762,0.0011571156346438516,0,600,3300,24000
200,0.05685138520739842,0.11142871500650091,0.03929112440223522,0.0002174519131898112,0,800,4400,32000
